"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_Cientifico","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Ischnocnema","Ischnocnema spanios","Ischnocnema spanios","(Heyer, 1985)","Sao Paulo Robber Frog","Anfíbios","05/2018","Menos Preocupante","","","schnocnema spanios é endêmica do Brasil, do bioma Mata Atlântica, e ocorre na Serra do Mar e na Serra da Mantiqueira, no estado de São Paulo. Trata-se de espécie terrícola, criptozóica, difícil de ser encontrada na serapilheira da floresta. Sua extensão de ocorrência é de 8.485 km2. Embora exista perda de vegetação nativa em algumas localidades ao longo de sua distribuição, não há ameaças evidentes que possam colocá-la em risco de extinção em curto prazo. Por essas razões, Ischnocnema spanios foi avaliada como Menos Preocupante (LC).","Sim","Não","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ SP Sub-bacia Litoral SP Sub-bacia Tietê","","APA SISTEMA CANTAREIRA, PARQUE ESTADUAL CARLOS BOTELHO, PARQUE ESTADUAL DA SERRA DO MAR","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Odontophrynidae","Proceratophrys","Proceratophrys appendiculata","Proceratophrys appendiculata","(Günther, 1873)","Guenther's Horned Frog, Gunther's Smooth Horned Frog, Sapo-de-chifres","Anfíbios","05/2018","Menos Preocupante","","","Proceratophrys appendiculata é endêmica do Brasil, do bioma Mata Atlântica, na região Sudeste do país; possui registros de ocorrência nos estado do Rio de Janeiro e São Paulo. Essa espécie habita a serapilheira sobre o solo, no interior e na borda de floresta primária e secundária, sua reprodução se dá em corpos d’água permanentes e temporários. Embora sua extensão de ocorrência calculada seja de 5.757 km2 , e que haja perda de vegetação natural em algumas regiões nessa área, a tendência populacional é estável, não havendo evidências de ameaças que possam colocar a espécie em risco de extinção. Além disso, a espécie ocorre em diversas unidades de conservação, inclusive de proteção integral. Por essas razões, Proceratophrys appendiculata foi avaliada como Menos Preocupante (LC).","Sim","Não","Rio de Janeiro, São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ Sub-bacia Paraíba do Sul","APA Petrópolis, PARNA da Serra da Bocaina","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS, AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU, PARQUE ESTADUAL DA ILHA GRANDE","RPPN Fazenda Santa Izabel","","Estável","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Odontophrynidae","Proceratophrys","Proceratophrys phyllostomus","Proceratophrys phyllostomus","Izecksohn, Cruz, & Peixoto, 1999","","Anfíbios","05/2018","Menos Preocupante","","","Proceratophrys phyllostomus é endêmica do Brasil, do bioma Mata Atlântica, é conhecida somente para o estado do Espírito Santo, nos municípios de Vargem Alta e Santa Teresa, todavia é possível que sua distribuição seja mais ampla. Essa espécie é naturalmente pouco abundante, pode ser encontrada em florestas primárias e secundárias, vivendo na serrapilheira próximo à riachos. Possui comportamento críptico, reprodução explosiva, é de fácil detecção auditiva, mas de difícil coleta, pois vocaliza em fendas de rochas às margens de riachos. Embora haja perda de hábitat natural onde ocorre, não há evidências de ameaças que possam colocar a espécie em risco de extinção em um futuro próximo. Por essas razões, Proceratophrys phyllostomus foi avaliada como Menos Preocupante (LC).","Sim","Não","Espírito Santo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral ES","","","","","Desconhecida","1 - Desenvolvimento residencial e comercial|1.4 - Assentamentos e pequenas propriedades rurais 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax perereca","Scinax perereca","Pombal, Haddad & Kasahara, 1995","Perereca-de-banheiro","Anfíbios","05/2018","Menos Preocupante","","","Scinax perereca ocorre na América do Sul, é conhecida para o Brasil, Argentina e Paraguai. No Brasil, ocorre no bioma Mata Atlântica, nas regiões Sudeste e Sul do país; possui registros de ocorrência nos estados de São Paulo, Paraná, Santa Catarina e Rio Grande do Sul. Essa espécie pode ser encontrada no interior e borda de florestas. Embora, nessa área haja perda de vegetação natural em algumas localidades, não há evidência de ameaças que possam colocar a espécie em risco de extinção, pois é abundante e frequente nos locais de ocorre e podendo ocorrer em áreas antropizadas. Além disso, ocorre em várias unidades de conservação federais e estaduais, inclusive de proteção integral. Por essas razões, Scinax perereca foi avaliada como Menos Preocupante (LC).","Não","Não","Paraná, Rio Grande do Sul, Santa Catarina, São Paulo","|Sudeste|Sul|","Mata Atlântica","Sub-bacia Guaíba Sub-bacia Iguaçu Sub-bacia Litoral RJ SP Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Paranapanema Sub-bacia Uruguai Alto Sub-bacia Uruguai Médio","APA Cananéia-Iguape-Peruíbe, FLONA Chapecó, FLONA São Francisco de Paula, Parna Aparados da Serra, PARNA Guaricana","APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA, ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS, PARQUE ESTADUAL DA SERRA DO TABULEIRO, PARQUE ESTADUAL DO RIO TURVO, PARQUE ESTADUAL DO TURVO","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Centrolenidae","Vitreorana","Vitreorana uranoscopa","Vitreorana uranoscopa","(Müller, 1924)","Humboldt's Glass Frog, Perereca-de-vidro, Rã-de-vidro","Anfíbios","05/2018","Menos Preocupante","","","Vitreorana uranoscopa ocorre na América do Sul, é conhecida para o Brasil, Paraguai e Argentina. No Brasil, ocorre nas regiões Sudeste e Sul, predominantemente no bioma Mata Atlântica; possui registros de ocorrência nos estados de Minas Gerais, Espírito Santo, Rio de Janeiro, São Paulo, Paraná, Santa Catarina e Rio Grande do Sul. Essa espécie vive em florestas às margens de riachos, é observada em folhas e arbustos em alturas variáveis em relação ao solo. Embora, em alguns locais na área de sua distribuição haja perda de vegetação natural, não há evidências de ameaças que possam colocar a espécie em risco de extinção. Além disso, ocorre em várias unidades de conservação federais e estaduais, inclusive de proteção integral. Por essas razões, Vitreorana uranoscopa foi avaliada como Menos Preocupante (LC).","Não","Não","Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo","|Sudeste|Sul|","Mata Atlântica","Sub-bacia Guaíba Sub-bacia Iguaçu Sub-bacia Litoral ES Sub-bacia Litoral RJ Sub-bacia Litoral SP Sub-bacia Litoral SP PR SC Sub-bacia Paraíba do Sul Sub-bacia Paranapanema Sub-bacia Tietê Sub-bacia Uruguai Alto","APA Petrópolis, PARNA da Serra da Bocaina, PARNA da Serra do Itajaí, PARNA da Tijuca, PARNA do Caparaó, REBIO do Tinguá","APA RIO BATALHA, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Gymnophiona","Siphonopidae","Luetkenotyphlus","Luetkenotyphlus brasiliensis","Luetkenotyphlus brasiliensis","(Lütken, 1851)","","Anfíbios","05/2018","Menos Preocupante","","","Luetkenotyphlus brasiliensis ocorre na Argentina, Brasil e Paraguai. No Brasil, possui ampla distribuição, com registros de ocorrência entre os estados de Minas Gerais e Rio Grande do Sul. A espécie possui hábitos terrestres e tolera certa alteração de hábitat, podendo ocorrer em jardins urbanos. Não há ameaças evidentes que possam colocá-la em risco de extinção. Por essas razões, Luetkenotyphlus brasiliensis foi avaliada como Menos Preocupante (LC).","Não","Não","Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo","|Sudeste|Sul|","Cerrado, Mata Atlântica","Sub-bacia Doce Sub-bacia Grande Sub-bacia Iguaçu Sub-bacia Litoral RJ Sub-bacia Litoral SP PR SC Sub-bacia Paraíba do Sul Sub-bacia Paranapanema Sub-bacia Paraná RH1 Sub-bacia Tietê Sub-bacia Uruguai Alto","APA Petrópolis","ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax maracaya","Scinax maracaya","(Cardoso & Sazima, 1980)","","Anfíbios","05/2018","Menos Preocupante","","","Scinax maracaya é endêmica do Brasil, com registros de ocorrência na Serra da Canastra e na porção sul da Cadeia do Espinhaço, no estado de Minas Gerais. Sua extensão de ocorrência foi calculada em 20.091 km2. A espécie é rara e parece ser pouco abundante. Embora exista impactos sobre seu ambiente, decorrentes principalmente da atividade minerária, a espécie ocorre em unidades de conservação, como no Parque Nacional da Serra da Canastra, e não há evidências de que as ameaças possam colocá-la em risco de extinção em curto prazo. Por essas razões, Scinax maracaya foi avaliada como Menos Preocupante (LC).","Sim","Não","Minas Gerais","|Sudeste|","Cerrado, Mata Atlântica","Sub-bacia Doce Sub-bacia Grande Sub-bacia São Francisco Alto","PARNA da Serra da Canastra","ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH","RPPN Cachoeira do Cerradão","","Desconhecida","3 - Produção energética e mineração|3.2 - Mineração 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylodidae","Hylodes","Hylodes pipilans","Hylodes pipilans","Canedo & Pombal, 2007","Rã-de-corredeira","Anfíbios","09/2017","Menos Preocupante","","","Hylodes pipilans é endêmica do Brasil, do bioma Mata Atlântica, com registros na região da Serra dos Órgãos, no estado do Rio de Janeiro, e na Serra do Mar, no estado de São Paulo. Embora sua extensão de ocorrência seja de apenas3.332 km2 , a espécie é de fácil encontro e abundante. Ocorre em unidades de conservação e não há ameaças evidentes que possam colocá-la em risco de extinção. Por essas razões, Hylodes pipilans foi avaliada como Menos Preocupante (LC).","Sim","Não","Rio de Janeiro, São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ Sub-bacia Litoral SP Sub-bacia Paraíba do Sul","APA Petrópolis, PARNA da Serra dos Órgãos","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU","","","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","Ceratophrys ornata","Ceratophrys ornata","(Bell, 1843)","Sapo-de-chifre, Sapo intanha, Sapo-untanha","Anfíbios","09/2018","Criticamente em Perigo","Sim","D","Ceratophrys ornata ocorre no Brasil, Argentina e Uruguai. A espécie tem sido registrada na região dos pampas na Argentina, mas não há registros no Uruguai desde o início da década de 1980. No Brasil, há registros históricos da espécie no bioma Pampa, no extremo sul do estado do Rio Grande do Sul, sendo o avistamento mais recente do início da década de 1990. A espécie era registrada com certa facilidade até a década de 1980, mesmo fora do período reprodutivo. As áreas alagadas na área de distribuição da espécie no país encontram-se severamente fragmentadas pela expansão de plantações de arroz e expansão urbana. A região foi bem amostrada nos últimos anos, especialmente a Estação Ecológica do Taim, mas não há registros adicionais. Embora seja de difícil encontro devido ao hábito de reprodução explosiva, outras espécies de comportamento similar têm sido encontradas na região. Suspeita-se que esteja extinta no Brasil ou que haja menos de 50 indivíduos maduros no país. Portanto, Ceratophrys ornata foi avaliada como Criticamente em Perigo (CR) pelo critério D, estando possivelmente extinta no Brasil (PEX).","Não","Sim","","||","","","","","","Desconhecido","Declinando","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.3 - Comercial - Internacional 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.6 - Retaliação/controle 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.3 - Captação de água de superfície - uso na agricultura 9 - Poluição|9.3 - Agropecuária e florestal|9.3.3 - Herbicidas e pesticidas","3 - Animais de estimação/ornamentais","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna do Sul - 2º ciclo, Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Amphibia","Gymnophiona","Siphonopidae","Mimosiphonops","Mimosiphonops reinhardti","Mimosiphonops reinhardti","Wilkinson & Nussbaum, 1992","Cecília","Anfíbios","06/2017","Dados Insuficientes","","","Mimosiphonops reinhardti é endêmica do Brasil, conhecida apenas do holótipo, coletado em 1878 em “Brasília”, sem especificações. Assume-se que sua distribuição seja no leste do Brasil, porém, ela é incerta, e a distribuição da espécie não é conhecida. Há ainda incerteza quanto à validade taxonômica da espécie. Assim, Mimosiphonops reinhardti foi avaliada como Dados Insuficientes (DD).","Sim","Não","","||","Desconhecido","","","","","","Desconhecida","12 - Outras ameaças","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylodidae","Crossodactylus","Crossodactylus cyclospinus","Crossodactylus cyclospinus","Nascimento, Cruz & Feio, 2005","Rãzinha-do-riacho","Anfíbios","09/2017","Dados Insuficientes","","","Crossodactylus cyclospinus é endêmica do Brasil, conhecida apenas de duas localidades no norte de Minas Gerais, nos municípios de Santa Maria do Salto e Cristália. A região onde a espécie ocorre sofre alterações em decorrência da extração de madeira nativa, incêndios e conversão de ambientes naturais em silvicultura e pastagem. No entanto, a região é pouco amostrada e a distribuição da espécie não é bem conhecida. Também não há informações suficientes sobre população e impacto das ameaças para uma avaliação adequada do seu risco de extinção. Por essas razões, Crossodactylus cyclospinus foi avaliada com Dados Insuficientes (DD).","Sim","Não","Minas Gerais","|Sudeste|","Cerrado, Mata Atlântica","Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES","","REFÚGIO ESTADUAL DE VIDA SILVESTRE MATA DOS MURIQUIS","","","Desconhecida","2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.2 - Plantações agro-industriais 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.3 - Pecuária agro-industrial 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.3 - Tendência desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudis","Pseudis bolbodactyla","Pseudis bolbodactyla","Lutz, 1925","Rã-boiadora","Anfíbios","05/2018","Menos Preocupante","","","Pseudis bolbodactyla é endêmica do Brasil, com distribuição predominante no bioma Cerrado a oeste da Serra do Espinhaço, nos estados da Bahia, Goiás, Mato Grosso e Minas Gerais. A espécie é comum, possui ampla distribuição e não há ameaças evidentes que possam colocá-la em risco de extinção. Por essas razões, Pseudis bolbodactyla foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Goiás, Mato Grosso, Minas Gerais","|Centro-Oeste|Nordeste|Sudeste|","Caatinga, Cerrado, Mata Atlântica","Sub-bacia Araguaia Sub-bacia Paranaíba Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia Tocantins Alto","APA Nascentes do Rio Vermelho","","RPPN Fazenda Palmeiras","","Desconhecida","","","","","","",""
